genres,id,popularity,production_companies,runtime,vote_average,vote_count,title,collection
"[878, 12, 35]",19673,3.603836,[1829],117.0,7.4,49.0,Seksmisja,
[28],14842,1.302154,[6951],103.0,6.4,17.0,44 Minutes: The North Hollywood Shoot-Out,
[18],27883,1.663767,[1432],107.0,6.7,21.0,Macbeth,
[18],41115,1.122466,"[255, 33155, 68053]",98.0,6.5,14.0,Garage Olimpo,
"[16, 14]",32085,6.675518,[3166],6.0,7.9,217.0,Vincent,
"[18, 10749]",43824,2.034638,[8411],108.0,8.0,28.0,Waterloo Bridge,
"[10752, 99]",41954,0.008673,[],267.0,6.5,8.0,Hôtel Terminus: The Life and Times of Klaus Barbie,
"[99, 36, 10752, 10769]",42611,0.863949,[],251.0,7.3,9.0,Le chagrin et la pitié,
"[18, 10749]",54156,1.647619,"[876, 7682, 8658]",93.0,4.5,7.0,Premiers désirs,
"[35, 10749, 10751]",39225,2.938017,"[1823, 3070]",95.0,6.3,10.0,With Six You Get Eggroll,
"[35, 10749]",30204,2.518743,[14091],103.0,5.9,20.0,"Move Over, Darling",
"[18, 10402, 10749]",40633,1.6561,[8411],122.0,6.9,15.0,Love Me or Leave Me,
[35],4595,2.058081,[60137],76.0,7.2,37.0,Jour de Fête,
[35],26182,1.639015,[8411],83.0,5.9,20.0,The Big Store,
[18],42260,1.307253,"[10869, 11626]",108.0,8.2,5.0,Mutter Küsters' Fahrt zum Himmel,
"[18, 10752]",31442,5.16792,"[5120, 81478]",95.0,7.7,109.0,Ива́ново де́тство,
"[12, 14, 878]",775,6.321801,[7159],14.0,7.9,314.0,Le Voyage dans la Lune,
"[35, 18, 10769]",36971,0.790495,"[254, 7977, 10046, 67853]",99.0,5.5,14.0,Whisky,
"[18, 10752]",50183,2.113171,[5120],111.0,8.0,28.0,Восхождение,
"[10770, 18, 27]",7342,9.362573,"[2230, 2231]",132.0,5.4,86.0,Carrie,
"[10749, 14, 35]",45267,4.29255,[9387],208.0,6.9,17.0,Boccaccio '70,
"[10770, 28, 27, 35, 878, 53]",33641,7.698433,[5315],84.0,4.7,25.0,Frankenfish,
[35],13618,12.241881,[3803],105.0,4.6,24.0,Who's Your Daddy?,
"[28, 53]",9636,7.535399,"[10254, 10280, 10405]",98.0,6.0,41.0,Control,
"[28, 18]",32128,2.442987,[],175.0,5.2,13.0,Category 6: Day of Destruction,
[27],36984,1.180205,[],88.0,4.3,6.0,Trespassing,
"[18, 10752]",48580,0.585679,"[6069, 8799, 8800, 11793]",107.0,6.1,13.0,Un héros très discret,
"[35, 18]",36843,5.82664,"[9210, 10100]",103.0,6.9,46.0,Life Is Sweet,
"[18, 9648, 53]",18871,3.432425,[10330],101.0,6.8,12.0,Ride the Pink Horse,
"[80, 18, 36]",69069,0.65296,"[22046, 34341]",113.0,6.7,10.0,The Chant of Jimmie Blacksmith,
"[18, 10749, 10769]",45713,1.160174,"[9181, 21728]",104.0,6.5,14.0,Shinjû: Ten no amijima,
"[80, 18]",104193,0.292384,"[9181, 9182]",105.0,7.0,8.0,少年,
[18],64167,1.609107,"[1200, 5358, 20777]",115.0,6.5,15.0,Let Him Have It,
[18],124083,0.043092,"[793, 5448, 7025]",115.0,5.0,1.0,Guelwaar,
"[35, 18, 10769, 36]",68528,1.132806,[],128.0,7.2,6.0,カンゾー先生,
"[18, 10752]",185987,4.227398,"[10444, 13341, 45824]",123.0,7.1,20.0,黒い雨,
"[9648, 18, 53]",34595,1.689471,[2756],103.0,5.8,24.0,Alexandra's Project,
[18],39851,2.767142,[],111.0,6.7,17.0,Clean,
[],45161,0.079204,[],86.0,7.0,2.0,The Delicate Art of Parking,
"[10749, 18, 36, 10402]",84084,0.773081,[306],154.0,5.5,2.0,Wilson,
"[18, 10749]",84087,0.692357,[8411],99.0,6.5,11.0,Blossoms in the Dust,
"[12, 35, 10751, 878]",7453,13.257255,"[158, 2242, 2243, 9195]",109.0,6.6,1340.0,The Hitchhiker's Guide to the Galaxy,
[53],15961,2.850939,[11672],107.0,6.9,15.0,Kongekabale,
"[10749, 35, 18]",6183,2.561207,[9195],110.0,6.7,59.0,Barfuß,
"[18, 35]",8220,1.254097,[2354],114.0,7.4,20.0,Entre tinieblas,
"[18, 28, 10769]",35170,1.513866,[8039],96.0,6.8,16.0,Snake and Crane Arts of Shaolin,
"[28, 12, 80, 18, 9648, 53]",20187,5.47591,"[33, 171, 3736]",123.0,6.2,91.0,The Eiger Sanction,
"[35, 10749]",38151,1.029336,"[4, 13870]",100.0,5.9,11.0,It Started in Naples,
"[28, 35, 37]",20628,1.811978,"[2418, 6194]",102.0,6.5,10.0,Skin Game,
[99],43003,3.252225,"[533, 36547]",89.0,7.2,77.0,Vérités et Mensonges,
"[18, 10749, 10770, 37]",16250,1.807464,"[3282, 3693, 4056]",88.0,6.2,25.0,Love Comes Softly,97919
"[27, 53, 18]",10065,13.088552,"[2481, 7405, 8411, 14718]",90.0,6.0,606.0,The Amityville Horror,397842
"[16, 35, 878]",30863,0.209908,[4660],81.0,7.8,4.0,Mutant Aliens,
"[18, 10751]",49920,0.207332,"[17171, 17172]",94.0,6.3,4.0,Acts of Worship,
"[18, 10752, 28, 12]",31065,6.988241,[],89.0,5.7,10.0,Ike: Countdown to D-Day,
[27],22033,1.848123,[9266],91.0,5.5,12.0,Cry of the Banshee,
"[80, 18]",37992,2.014953,[33],87.0,6.4,24.0,Phantom Lady,
"[18, 53]",32850,2.496859,[8411],82.0,6.2,19.0,Act of Violence,
"[18, 14, 10749, 878]",68883,1.871935,"[2521, 3054]",96.0,6.8,14.0,胭脂扣,
"[18, 14, 35]",43379,1.607246,"[1875, 12663]",100.0,7.0,26.0,Miracolo a Milano,
[18],9393,5.69684,"[47, 1107, 7930]",117.0,7.3,74.0,Napola – Elite für den Führer,
"[37, 35]",16972,7.085212,[6194],114.0,6.0,38.0,The Frisco Kid,
"[18, 14, 27]",21325,0.450855,[882],112.0,7.3,3.0,Onmyoji,
"[28, 12, 80, 18]",13409,0.318108,[],94.0,5.5,3.0,State Property 2,124879
[99],14287,0.562054,[4396],88.0,5.5,2.0,The Year of the Yao,
"[35, 18]",24363,4.587746,"[11391, 12260, 30131, 38771]",97.0,6.2,24.0,House of D,
"[35, 18]",13073,2.754372,[],100.0,6.5,48.0,Palindromes,
"[35, 10751]",35384,0.470117,"[5546, 95187]",90.0,4.1,5.0,Down and Derby,
"[35, 10749]",113178,0.002817,[],94.0,0.0,0.0,A Wake in Providence,
[35],8976,10.596719,"[2976, 2977, 9195, 10157]",107.0,6.5,329.0,A Lot Like Love,
"[35, 80]",27360,4.550206,[],95.0,5.1,14.0,King's Ransom,
[18],29078,2.417256,"[2233, 2234, 2978, 4059, 23359]",101.0,5.8,16.0,The Game of Their Lives,
"[28, 12, 18]",38717,1.534055,[],99.0,5.3,3.0,Madison,
[99],13020,3.971749,[846],110.0,7.2,75.0,Enron: The Smartest Guys in the Room,
"[28, 12, 80, 18, 9648, 53]",11679,19.144611,"[333, 441, 497]",101.0,4.7,565.0,xXx: State of the Union,52785
[],25007,0.902846,[],92.0,4.0,2.0,Death of a Dynasty,
"[18, 28, 12, 36, 10752]",1495,16.296471,"[264, 306, 1645, 4169, 19477, 19478, 19479, 19480, 19482, 19483]",144.0,6.6,1187.0,Kingdom of Heaven,
[27],10066,7.163099,"[79, 1786, 6194]",113.0,5.5,696.0,House of Wax,
[18],1640,9.785147,"[1632, 2087, 2448, 12260, 19528, 25432, 25433, 25434]",112.0,7.2,1172.0,Crash,
[35],67445,0.152631,"[1606, 12026, 57337]",90.0,3.3,3.0,Jiminy Glick in Lalawood,
[18],11171,7.103951,"[328, 1474, 1615, 20993]",105.0,7.4,266.0,Mysterious Skin,
"[35, 10749]",14750,7.356831,[306],93.0,6.2,28.0,Mischief,
"[28, 37]",43260,1.433165,[441],100.0,6.8,17.0,Jubal,
"[12, 35]",11799,4.753956,[],120.0,5.8,15.0,Viva Maria!,
"[18, 10749, 53]",53116,1.821541,"[1936, 13785]",115.0,5.8,9.0,Entre las piernas,
"[12, 28, 18]",24444,2.657711,"[2521, 3038, 3214]",94.0,6.3,12.0,新座頭市　破れ！唐人剣,96887
[18],83995,0.700598,[1319],95.0,7.4,7.0,The Angry Silence,
"[18, 36, 10402, 10749]",42626,2.142332,"[33, 7046, 70430]",131.0,6.2,10.0,Isadora,
"[10402, 18, 10749]",43881,0.770164,[8411],115.0,7.0,13.0,San Francisco,
[18],46594,1.289409,[25065],75.0,7.1,28.0,Земля,441443
"[53, 18, 10749]",43344,1.931894,[41954],92.0,7.8,18.0,Él,
[18],26614,1.743615,[68167],91.0,7.1,19.0,La Chienne,
[18],133750,1.197094,"[875, 22449]",103.0,6.0,2.0,Eréndira,
"[18, 10749]",16902,4.150285,[6194],106.0,7.0,12.0,The Private Lives of Elizabeth and Essex,
"[18, 10752]",41131,2.214573,"[483, 8411]",104.0,7.2,15.0,The Search,
[18],31414,7.515086,"[5132, 8138, 8453, 55475, 59873]",450.0,8.1,56.0,Sátántangó,
"[35, 18, 14]",40730,0.328792,[8411],99.0,8.2,6.0,On Borrowed Time,
"[35, 18]",15318,2.853095,"[39803, 39804]",143.0,7.0,32.0,茶の味,
[18],13384,4.418373,"[1980, 27016]",110.0,7.6,95.0,Kes,
"[35, 18, 10751]",48993,0.814727,[8411],117.0,6.5,4.0,The Human Comedy,
"[16, 14, 27]",9463,3.74515,[3466],80.0,6.6,69.0,バンパイアハンターD,122952
"[35, 10749]",13163,7.922964,[769],88.0,5.6,27.0,Buying the Cow,
[18],26810,1.956427,[],89.0,5.6,7.0,Brodeuses,
[35],20625,1.242836,[4],96.0,7.1,21.0,The Cocoanuts,
"[18, 36, 10752]",1566,2.288764,[1626],103.0,7.6,34.0,Die Brücke,
"[10770, 53, 18, 36, 10749]",21997,4.072273,"[689, 8411, 11317, 18880, 30766, 81876]",95.0,6.6,14.0,In the Time of the Butterflies,
"[18, 28, 53, 10749]",30624,0.584114,[306],95.0,6.2,7.0,Road House,
"[35, 18, 10749]",44658,1.912647,"[20091, 92853]",117.0,6.5,20.0,Очи черные,
"[35, 18, 10749]",48130,1.070223,[11114],95.0,7.2,15.0,Edges of the Lord,
"[35, 18]",27233,3.222423,[],107.0,7.0,35.0,キッズ・リターン,
"[10402, 99]",41386,0.837483,[],100.0,7.1,8.0,The Fearless Freaks,
[18],24078,6.866857,[2757],108.0,5.7,9.0,Off the Map,
"[35, 9648, 10749]",43271,1.393311,"[7680, 11143, 14245, 67333]",100.0,6.5,13.0,Inconscientes,
"[53, 18]",26541,1.205089,[],93.0,3.8,5.0,The Tesseract,
"[35, 18]",63066,0.45289,"[67853, 74901, 93535]",94.0,5.7,8.0,25 Watts,
[18],37720,0.263147,[],150.0,6.1,5.0,The Hiding Place,
[18],18050,3.683435,[306],137.0,6.8,9.0,The Keys of the Kingdom,
[18],155325,0.709622,"[48708, 73037, 76499]",0.0,4.5,2.0,300 mil do nieba,
[35],31819,2.36944,[4114],31.0,7.0,25.0,The Adventurer,
[35],14672,0.111834,"[2944, 2945, 2946, 2948]",92.0,7.3,3.0,Crackerjack,
"[35, 18]",11628,7.132709,"[204, 23153]",120.0,7.0,12.0,Solino,
"[35, 80, 18, 10749]",10913,2.48575,"[76, 11672, 43271]",105.0,5.6,33.0,Dear Wendy,
"[80, 9648]",11605,2.216599,[],94.0,6.6,14.0,The List of Adrian Messenger,
"[80, 35, 18, 12]",16976,2.863136,[],120.0,6.8,14.0,ナイン・ソウルズ,
[99],38643,1.678293,[],169.0,7.1,15.0,Los Angeles Plays Itself,
"[28, 80]",10027,7.90583,"[104, 972, 2748, 3823, 6896, 66739, 66740]",103.0,6.6,531.0,Unleashed,
[18],2444,1.622754,[],114.0,6.5,15.0,La ardilla roja,
"[18, 10769]",43429,2.435127,"[6639, 7680, 9335, 30289, 30290]",123.0,7.3,23.0,Martín (Hache),
"[35, 18]",19413,3.364908,[10000],115.0,7.2,45.0,"Brutti, sporchi e cattivi",
"[35, 18]",11139,2.142068,[2514],107.0,7.2,34.0,Léolo,
"[12, 16, 10751, 35, 14]",10837,7.810813,[5391],74.0,6.7,201.0,DuckTales: The Movie - Treasure of the Lost Lamp,
"[18, 35, 10402]",32610,4.779775,[8411],93.0,6.5,14.0,Babes in Arms,
[18],1279,2.596319,[684],95.0,6.9,54.0,사마리아,
"[878, 12, 28]",1895,13.165421,[1],140.0,7.1,4200.0,Star Wars: Episode III - Revenge of the Sith,10
"[10749, 35, 10751]",9981,9.875573,[33],95.0,5.6,179.0,Kicking & Screaming,
"[10749, 35]",4379,6.328385,"[12, 705, 6363, 12067]",101.0,5.6,413.0,Monster-in-Law,
"[18, 9648, 53]",31200,7.607516,"[4376, 6194, 14568]",105.0,6.8,10.0,Agatha,
"[10749, 18, 14]",37215,0.545576,[4],79.0,5.8,6.0,Death Takes a Holiday,
"[18, 35, 10749, 10769]",56946,0.977228,"[10645, 71818, 81974]",87.0,8.0,4.0,Vodka Lemon,
[99],11019,3.485109,"[3164, 45786, 45787]",83.0,5.6,17.0,Deep Blue,
"[10749, 878, 35]",28423,1.294231,[33],72.0,6.0,5.0,The Invisible Woman,259401
"[28, 12, 18]",14694,2.316254,[],103.0,6.3,34.0,The Snow Walker,
[35],20271,3.279671,"[1679, 12111, 12240]",105.0,7.9,53.0,Divorzio all'italiana,
"[35, 10402, 10749]",29872,5.393625,[6],83.0,6.7,7.0,Carefree,
"[28, 35, 14]",85014,0.000308,[14104],92.0,6.0,3.0,天師撞邪,
"[28, 10769, 53]",34856,1.264429,"[2269, 76810, 76811]",92.0,5.3,8.0,Leui ting jin ging,
"[35, 10749]",46112,2.025646,[],83.0,4.5,12.0,Dawg,
"[18, 10402, 10749]",27,18.847707,[163],66.0,5.1,103.0,9 Songs,
"[18, 14, 27, 9648]",16373,2.933523,[4],99.0,7.0,51.0,The Uninvited,
"[18, 53, 10749]",25649,3.001605,"[139, 12743]",100.0,7.0,48.0,나쁜 남자,
"[18, 35]",19398,1.854733,"[1615, 4508, 8659, 30966, 53823, 53824]",102.0,7.8,8.0,Simon,
"[36, 10752, 28]",100605,0.393776,[],75.0,5.8,3.0,December 7th,
"[28, 18, 10752]",43506,0.809567,"[1460, 8411]",114.0,6.2,11.0,Bataan,
"[10751, 16]",953,16.136217,"[27, 520, 521]",86.0,6.6,3322.0,Madagascar,14740
"[18, 10749]",16605,1.623367,"[418, 1615, 2948, 5668, 8724]",105.0,6.2,22.0,Somersault,
"[18, 28, 35, 80]",42268,0.154133,"[306, 14391]",94.0,6.8,4.0,11 Harrowhouse,
"[28, 12, 35]",13064,11.600224,[],91.0,6.1,20.0,Airborne,
"[99, 10751]",14358,2.096,[],105.0,7.2,8.0,Mad Hot Ballroom,
[99],26825,0.825475,[],95.0,5.3,3.0,Tell Them Who You Are,
"[27, 53]",12700,7.892677,[10210],117.0,4.8,77.0,Dominion: Prequel to the Exorcist,12263
"[35, 18]",9291,7.349843,"[4, 441, 746, 2608, 60378]",113.0,6.2,804.0,The Longest Yard,
"[35, 10749]",19316,3.08291,[],91.0,6.8,33.0,Saving Face,
"[28, 53]",34309,10.323838,"[12, 5441]",99.0,5.8,27.0,Most Wanted,
"[10749, 18, 36]",921,6.363884,"[14, 23, 33, 631, 9195]",144.0,7.3,630.0,Cinderella Man,
"[18, 35]",9779,9.263965,"[813, 1088, 10067]",119.0,6.3,396.0,The Sisterhood of the Traveling Pants,17368
[18],9787,4.350049,"[5, 559]",107.0,7.0,215.0,Lords of Dogtown,
"[35, 10749]",16932,2.624898,"[148, 5358, 11246, 12389, 15671, 18367, 20366, 28400, 28401]",110.0,6.9,14.0,Après vous...,
"[28, 99, 10402]",23825,1.594478,"[4274, 4275]",93.0,6.4,5.0,Rock School,
"[28, 35, 18, 53]",787,15.724373,"[433, 491, 508, 1171, 10104]",120.0,6.5,3048.0,Mr. & Mrs. Smith,
"[12, 10751, 878]",14199,6.477862,[10807],92.0,4.4,278.0,The Adventures of Sharkboy and Lavagirl,
"[27, 53, 9648]",10226,5.460821,"[1632, 2926, 6896]",91.0,6.6,279.0,Haute tension,
[35],21295,4.57478,[4],90.0,4.1,21.0,The Honeymooners,
"[18, 10749, 10769]",20651,1.361436,[],131.0,6.6,11.0,Parineeta,
[18],56321,2.582899,[7005],91.0,6.9,24.0,Toto le héros,
"[18, 10749]",9528,3.837975,[],104.0,6.5,36.0,Ladies in Lavender,
"[18, 35, 10402]",12109,2.812182,[],90.0,7.1,53.0,It's All Gone Pete Tong,
"[28, 18, 10749, 878, 10770]",47945,2.252772,[3268],91.0,3.9,6.0,Daybreak,
"[18, 10752]",13935,3.923738,"[3268, 3559]",95.0,6.2,25.0,When Trumpets Fade,
"[18, 10752]",20941,7.559298,"[59, 2253, 5084, 28334, 84497, 84498]",120.0,7.6,33.0,Voces inocentes,
"[27, 878]",18289,6.297432,[622],105.0,6.5,25.0,ゴジラvsビオランテ,374511
"[18, 10749]",43471,2.255925,[306],128.0,5.8,11.0,Anna and the King of Siam,
"[18, 10749]",65579,0.402405,[14063],93.0,5.7,3.0,Dirty Filthy Love,
[35],3011,3.314695,[5],130.0,5.0,6.0,Good Neighbor Sam,
[35],13589,1.07289,[],114.0,8.1,17.0,Eddie Izzard: Dress to Kill,
"[18, 36, 10749]",11620,11.840985,[8411],171.0,7.0,64.0,Quo Vadis,
"[10749, 35, 18]",43354,0.945812,"[659, 660]",94.0,5.9,5.0,The Captain's Paradise,
"[28, 80, 18]",272,28.505341,"[429, 923, 6194, 9993, 9996, 19231]",140.0,7.5,7511.0,Batman Begins,263
"[28, 27]",5845,2.102954,[],76.0,6.6,17.0,Aragami,
"[28, 12, 878, 14, 53]",15767,3.131059,[622],125.0,6.4,41.0,Gojira: Fainaru uôzu,374512
"[10749, 18, 35]",44524,0.889366,"[729, 1666, 15671, 18367]",150.0,7.6,20.0,Rois et reine,
"[35, 18, 10751, 10749]",15648,4.845647,[33],100.0,5.5,207.0,The Perfect Man,
"[18, 53, 10749]",9709,4.21593,[],86.0,6.0,59.0,My Summer of Love,
"[18, 10749]",29080,5.640893,[2370],93.0,6.7,10.0,Heights,
"[53, 80, 18]",10274,0.964706,[3958],107.0,5.3,4.0,The Deal,
"[10749, 18]",45881,1.192451,[],120.0,5.4,15.0,The Bridge of San Luis Rey,
"[35, 18]",25248,2.488542,"[803, 15689, 64570]",95.0,7.3,24.0,Saint Ralph,
"[35, 10751, 12, 14, 10749]",11451,9.35239,"[2, 3929]",101.0,5.1,559.0,Herbie Fully Loaded,12087
"[18, 10749]",25312,4.579994,"[2152, 2452, 14731, 36765]",100.0,6.0,8.0,Yes,
[27],11683,9.478117,"[33, 2995, 55518, 55519]",93.0,6.0,395.0,Land of the Dead,261590
"[35, 14, 10749]",9722,9.276085,"[441, 14440, 84893]",102.0,4.8,463.0,Bewitched,
[99],2287,1.355932,"[1050, 1051, 1052, 1053]",86.0,5.9,13.0,Rize,
"[12, 18]",18497,1.202441,[],104.0,6.4,10.0,Exils,
"[35, 99]",47924,0.040593,[],66.0,6.0,1.0,Home Movie,
"[18, 10749]",43888,0.490274,[10974],84.0,3.0,2.0,Becky Sharp,
"[28, 35, 80]",2994,2.586658,"[4, 1216, 1497]",100.0,6.1,23.0,Diabolik,
"[28, 10749]",76094,0.517872,[4],102.0,5.3,10.0,The Trail of the Lonesome Pine,
"[35, 18]",1382,9.0744,[307],90.0,7.0,108.0,Me and You and Everyone We Know,
"[53, 35, 80]",9534,4.160272,"[692, 93163, 93164]",105.0,6.7,66.0,Crimen Ferpecto,
[27],33908,4.128086,[5346],125.0,6.7,81.0,"쓰리, 몬스터",
"[18, 35, 10749]",14653,2.530186,[],100.0,5.9,18.0,Ils se marièrent et eurent beaucoup d'enfants,
"[27, 10749, 35]",9976,2.233189,"[2828, 60626]",100.0,5.0,42.0,Satan's Little Helper,
"[18, 35]",276,5.681706,"[121, 122, 124, 201]",127.0,7.2,83.0,Die fetten Jahre sind vorbei,
[18],28000,2.747776,[8411],113.0,6.8,30.0,Somebody Up There Likes Me,
"[18, 10749, 35]",38731,1.148295,[306],124.0,6.1,17.0,An Unmarried Woman,
"[18, 28, 53, 80]",25876,1.444428,[6],88.0,5.9,9.0,The Racket,
[18],93775,0.770476,[893],93.0,5.7,8.0,The Member of the Wedding,
"[28, 12, 53]",25426,1.029389,[],84.0,3.8,5.0,Coronado,
"[28, 878]",38046,1.755974,"[8344, 11776]",93.0,2.9,12.0,Retrograde,
[99],24703,0.65191,[],93.0,6.8,9.0,Trekkies 2,
"[35, 27, 878]",2151,12.809011,[992],90.0,5.3,32.0,Man with the Screaming Brain,
"[28, 18, 37]",42491,6.349126,"[33, 1953, 2595]",103.0,6.3,22.0,Ulzana's Raid,
[35],102841,0.773488,[],84.0,3.7,3.0,Rabbit Test,
"[18, 37]",42488,1.786742,[6181],204.0,6.9,21.0,Nybyggarna,308465
"[12, 18]",120747,0.673755,[6194],130.0,5.0,2.0,The Adventures of Mark Twain,
"[80, 18]",26323,1.588639,[6194],90.0,4.8,8.0,Bordertown,
"[28, 35, 10751]",12574,8.400026,"[23, 33]",97.0,4.3,36.0,Cop and ½,
"[18, 80, 9648, 53]",115565,6.001067,"[22957, 22958]",110.0,5.6,4.0,Equinox,
"[10749, 35]",22968,1.325032,[8411],82.0,6.4,13.0,Father's Little Dividend,
"[28, 35, 10749]",31901,1.266873,[5],90.0,5.1,9.0,For Pete's Sake,
[18],50536,2.324847,[],91.0,5.9,21.0,Twenty Bucks,
[53],15719,6.608293,[],94.0,5.0,9.0,Do Not Disturb,
[53],28455,13.541552,[9195],104.0,5.4,26.0,Deceived,
[35],15938,1.782967,[6],78.0,6.4,15.0,Room Service,
"[53, 28]",2095,4.464532,"[1164, 34206, 34207]",88.0,5.2,13.0,Desert Saints,
"[35, 18]",18503,3.162693,[8875],105.0,6.5,55.0,Caterina va in città,
[35],20914,4.876771,[],140.0,7.9,112.0,Amici miei,150954
"[35, 10402]",22553,1.149676,[8411],87.0,6.5,22.0,At the Circus,
"[80, 18]",26762,2.111084,[8411],103.0,6.0,12.0,The Outfit,
[18],34308,7.275868,[61312],128.0,7.3,42.0,Modigliani,
"[10402, 10749]",43809,0.974162,"[1460, 8411]",102.0,6.0,7.0,Broadway Melody of 1940,
"[53, 9648, 878]",11588,3.561706,"[14, 7405, 10828, 23628]",90.0,5.8,64.0,The I Inside,
"[12, 53, 878]",74,19.929377,"[4, 27, 44, 56]",116.0,6.2,2397.0,War of the Worlds,
"[18, 10749]",16659,0.773123,"[14590, 37553, 38670]",100.0,5.4,12.0,My Brilliant Career,
"[878, 18, 27]",39464,2.631502,"[622, 882]",87.0,6.3,26.0,Gojira tai Hedora,374509
"[28, 35, 80]",28270,3.035438,[33],109.0,6.8,26.0,Gambit,
[53],4889,2.129835,[1802],111.0,5.3,24.0,Billion Dollar Brain,89188
"[99, 10751]",1667,9.435123,"[856, 5358, 7658, 8661, 66329, 66330, 66331]",80.0,6.9,371.0,La Marche de l'empereur,
"[80, 18, 10749, 53]",78293,0.236106,"[6301, 6916, 18367, 25005]",95.0,5.6,5.0,À tout de suite,
"[35, 18, 10749]",100196,0.300345,[],84.0,6.1,6.0,Julian Po,
"[99, 18]",13014,1.394269,[],62.0,6.2,38.0,The God Who Wasn't There,
"[28, 35]",18257,1.753585,"[14665, 16736]",87.0,6.2,19.0,Black Belt Jones,
"[35, 10751]",7233,4.373457,"[306, 3929, 73956]",103.0,5.2,96.0,Rebound,
"[35, 18]",78344,0.298155,"[16, 24477]",94.0,7.0,4.0,Ha-Kochavim Shel Shlomi,
"[18, 10752, 36, 10749]",73376,0.308439,"[5, 21275]",137.0,4.9,7.0,The Inner Circle,
"[18, 27, 53]",9009,6.53565,"[829, 9195, 49696, 49697]",105.0,5.3,275.0,Dark Water,
"[18, 53]",1553,6.80183,[729],107.0,6.8,114.0,De battre mon cœur s'est arrêté,
"[28, 12, 14, 878]",9738,19.382082,"[306, 436, 5755, 19551, 26149]",106.0,5.5,3040.0,Fantastic Four,9744
[99],14278,1.687901,[446],88.0,6.9,23.0,Murderball,
"[10402, 18]",55650,3.464937,[3221],120.0,6.3,16.0,Saraband,
"[10749, 18]",125360,0.324143,[1596],93.0,7.5,4.0,Julie Johnson,
"[35, 10749]",9522,11.100597,"[12, 870, 1565]",119.0,6.4,1406.0,Wedding Crashers,
"[35, 18, 10749]",14922,3.499985,[35],128.0,5.6,36.0,Happy Endings,
"[10751, 35, 878]",77593,0.009919,"[1353, 9266]",89.0,3.5,3.0,C.H.O.M.P.S.,
"[36, 18, 53]",17599,2.659356,"[33, 12277]",125.0,6.2,31.0,The Hindenburg,
"[35, 18]",28706,0.637,[],91.0,7.0,2.0,Staying Together,
"[35, 10751, 53]",48232,2.094195,[],93.0,6.2,27.0,Twin Sitters,
[53],26654,1.720804,[6194],86.0,5.6,14.0,Conflict,
"[35, 18, 10749]",1826,6.361343,"[694, 884, 2568, 5358, 10572, 15671]",129.0,6.8,156.0,Les Poupées Russes,239766
"[28, 10769]",54858,0.512085,[],90.0,4.8,8.0,天殘地缺,
"[10752, 18]",43100,3.566556,"[1664, 22396]",132.0,7.3,16.0,Il generale Della Rovere,
"[35, 18]",36484,0.331349,[],100.0,5.9,4.0,Rick,
"[18, 878]",21886,0.798969,"[4389, 8411]",96.0,6.7,6.0,No Blade of Grass,
"[18, 10752, 10749]",84079,1.640077,[10330],132.0,7.4,19.0,A Time to Love and a Time to Die,
"[12, 37]",43367,1.898482,"[6, 13987]",140.0,5.6,10.0,The Big Sky,
"[28, 18]",21115,2.145287,[],120.0,6.7,25.0,바람의 파이터,
"[10752, 18, 10749]",36401,1.610562,"[5358, 6476, 18367]",113.0,6.5,6.0,Pornografia,
[18],38530,0.593173,[],99.0,6.2,7.0,Symetria,
"[18, 10769]",38516,1.1978,[473],155.0,6.9,9.0,Karol - Un uomo diventato Papa,
[35],14646,2.102816,"[183, 885, 45970]",110.0,7.2,36.0,Un air de famille,
[18],10476,7.422267,[746],116.0,6.9,101.0,Hustle & Flow,
"[27, 878, 53]",11309,6.026159,"[927, 12745, 21443]",93.0,5.6,88.0,Hardware,
[28],34012,1.883122,[33],98.0,6.0,14.0,The Appaloosa,
"[9648, 18, 53]",21366,2.131714,"[6, 11447]",68.0,6.0,17.0,Journey Into Fear,
[35],31063,2.923272,"[33, 694, 10163, 10462]",89.0,5.4,20.0,The Calcium Kid,
"[18, 35]",33693,1.147626,[],85.0,6.3,8.0,Funny Ha Ha,
"[28, 53, 878, 12]",1635,11.443647,"[27, 6194, 11084]",136.0,6.5,1813.0,The Island,
"[35, 10751]",13341,4.469459,[4],113.0,5.7,73.0,Bad News Bears,
"[18, 27, 80]",1696,12.221507,"[35, 995, 1838, 45966]",107.0,6.6,329.0,The Devil's Rejects,105625
[18],1665,4.790012,"[7429, 11486, 13507]",96.0,5.3,95.0,Last Days,
"[18, 35, 53]",9775,0.391031,"[8369, 22505]",104.0,6.8,11.0,Noviembre,
"[12, 35, 10751]",11459,8.061423,"[2, 3538, 56980]",100.0,5.8,568.0,Sky High,
[28],10048,13.89018,"[326, 333, 441, 11317, 19523]",121.0,4.9,341.0,Stealth,
"[10749, 35]",11648,9.378926,"[598, 6194, 46108]",98.0,5.8,142.0,Must Love Dogs,
"[35, 99]",15258,3.898364,[3516],89.0,6.0,47.0,The Aristocrats,
[18],123049,0.86176,[57043],111.0,6.0,6.0,Twice in a Lifetime,
"[18, 35, 10749]",42719,1.981755,"[441, 19877]",99.0,6.8,12.0,Georgy Girl,
[18],41776,1.377577,[],105.0,6.3,5.0,This Is My Life,
"[18, 10402]",72899,1.049339,[14220],123.0,6.5,12.0,The Music Lovers,
"[35, 10749]",57866,0.632989,[4],78.0,5.2,6.0,Kiss and Make-Up,
